Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:35:55 UTC 2014,1.7051,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:00 UTC 2014,1.7051,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:05 UTC 2014,2.6183,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:10 UTC 2014,2.6183,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:15 UTC 2014,3.9315,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:20 UTC 2014,3.9315,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:25 UTC 2014,3.9315,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:30 UTC 2014,3.9315,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:35 UTC 2014,5.7344,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:41 UTC 2014,5.8045,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:46 UTC 2014,5.8045,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:51 UTC 2014,5.8045,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:56 UTC 2014,7.1501,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:01 UTC 2014,7.1501,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:06 UTC 2014,7.1501,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:11 UTC 2014,7.8471,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:16 UTC 2014,7.8471,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:21 UTC 2014,7.4037,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:26 UTC 2014,7.4037,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:31 UTC 2014,7.4037,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:36 UTC 2014,8.7437,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:42 UTC 2014,8.7437,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:47 UTC 2014,8.7437,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:52 UTC 2014,9.8704,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:37:57 UTC 2014,9.8704,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:02 UTC 2014,9.2323,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:07 UTC 2014,9.2323,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:12 UTC 2014,9.2323,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:17 UTC 2014,10.7601,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:22 UTC 2014,10.7601,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:27 UTC 2014,10.7601,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:33 UTC 2014,9.9707,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:38 UTC 2014,9.9707,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:43 UTC 2014,11.5271,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:48 UTC 2014,11.5271,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:53 UTC 2014,11.5271,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:58 UTC 2014,10.9576,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:03 UTC 2014,10.9576,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:08 UTC 2014,10.9576,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:13 UTC 2014,11.2648,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:18 UTC 2014,11.2648,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:24 UTC 2014,10.9235,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:29 UTC 2014,10.9235,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:34 UTC 2014,10.9235,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:39 UTC 2014,11.5727,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:44 UTC 2014,11.5727,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:49 UTC 2014,11.5727,0.12,1.0,CassandraNode_scaleIn,
