Time ,cpuUsage ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:59:16 UTC 2014,50.2117,8,,
Thu Feb 20 13:59:21 UTC 2014,50.2117,8,,
Thu Feb 20 13:59:27 UTC 2014,48.0855,8,,
Thu Feb 20 13:59:33 UTC 2014,48.0855,8,,
Thu Feb 20 13:59:38 UTC 2014,53.1975,8,,
Thu Feb 20 13:59:44 UTC 2014,53.1975,8,,
Thu Feb 20 13:59:50 UTC 2014,52.359,8,,
Thu Feb 20 13:59:56 UTC 2014,53.5766,8,,
Thu Feb 20 14:00:02 UTC 2014,53.5766,8,,
Thu Feb 20 14:00:07 UTC 2014,55.2214,8,,
Thu Feb 20 14:00:13 UTC 2014,55.2214,8,,
Thu Feb 20 14:00:18 UTC 2014,53.175,8,,
Thu Feb 20 14:00:23 UTC 2014,53.175,8,,
Thu Feb 20 14:00:29 UTC 2014,53.8296,8,,
Thu Feb 20 14:00:35 UTC 2014,53.8296,8,,
Thu Feb 20 14:00:40 UTC 2014,52.1234,8,,
Thu Feb 20 14:00:45 UTC 2014,52.1234,8,,
Thu Feb 20 14:00:51 UTC 2014,52.1234,8,,
Thu Feb 20 14:00:56 UTC 2014,52.7748,8,,
Thu Feb 20 14:01:01 UTC 2014,53.9262,8,,
Thu Feb 20 14:01:07 UTC 2014,53.9262,8,,
Thu Feb 20 14:01:12 UTC 2014,54.7144,8,,
Thu Feb 20 14:01:17 UTC 2014,54.1807,8,,
Thu Feb 20 14:01:23 UTC 2014,54.1807,8,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 14:01:30 UTC 2014,51.8079,8,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 14:01:37 UTC 2014,55.8399,8,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 14:01:44 UTC 2014,55.2688,8,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 14:01:52 UTC 2014,55.2688,8,CassandraNode_scaleIn,CassandraNode
