Time ,cost/client/h , ongoingAction, targetedNodeID
Tue Feb 18 10:03:54 UTC 2014,0.072,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:03:59 UTC 2014,0.072,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:04:04 UTC 2014,0.072,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:04:09 UTC 2014,0.72,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:04:14 UTC 2014,0.72,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:04:19 UTC 2014,0.72,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:04:24 UTC 2014,0.72,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:04:30 UTC 2014,0.03,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:04:35 UTC 2014,0.03,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:04:40 UTC 2014,0.03,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:04:45 UTC 2014,0.03,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:04:50 UTC 2014,0.005,DataNodeServiceUnit_scaleIn,
