Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:38:22 UTC 2014,5.5054,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:28 UTC 2014,5.5054,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:33 UTC 2014,5.1107,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:38 UTC 2014,5.1107,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:43 UTC 2014,5.8889,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:48 UTC 2014,5.9141,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:53 UTC 2014,5.9141,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:58 UTC 2014,5.6294,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:03 UTC 2014,5.6294,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:08 UTC 2014,5.6294,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:13 UTC 2014,5.783,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:19 UTC 2014,5.7327,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:24 UTC 2014,5.562,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:29 UTC 2014,5.562,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:34 UTC 2014,5.562,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:39 UTC 2014,5.8866,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:44 UTC 2014,5.8866,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:49 UTC 2014,5.9617,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:54 UTC 2014,6.9533,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:59 UTC 2014,6.9533,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:04 UTC 2014,6.6199,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:10 UTC 2014,6.6199,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:15 UTC 2014,6.6199,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:20 UTC 2014,7.1661,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:25 UTC 2014,7.1661,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:30 UTC 2014,7.1661,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:35 UTC 2014,7.2362,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:40 UTC 2014,7.2111,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:45 UTC 2014,7.5603,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:50 UTC 2014,7.5603,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:55 UTC 2014,7.5603,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:00 UTC 2014,6.4647,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:06 UTC 2014,6.4647,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:11 UTC 2014,6.5146,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:16 UTC 2014,6.6579,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:21 UTC 2014,6.6579,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:26 UTC 2014,6.3442,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:31 UTC 2014,6.3442,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:36 UTC 2014,6.5399,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:41 UTC 2014,6.5399,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:46 UTC 2014,6.5399,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:51 UTC 2014,6.5399,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:56 UTC 2014,5.175,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:01 UTC 2014,5.175,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:06 UTC 2014,4.7673,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:12 UTC 2014,4.7673,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:17 UTC 2014,4.8798,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:22 UTC 2014,4.8798,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:27 UTC 2014,4.8798,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:32 UTC 2014,5.0349,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:37 UTC 2014,5.0349,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:42 UTC 2014,4.6981,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:47 UTC 2014,4.6981,0.24,2.0,CassandraNode_scaleIn,
