Time ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:52:20 UTC 2014,64.8622,0.48,4,,
Thu Feb 20 13:52:26 UTC 2014,64.8622,0.48,4,,
Thu Feb 20 13:52:31 UTC 2014,61.1328,0.48,4,,
Thu Feb 20 13:52:36 UTC 2014,61.1328,0.48,4,,
Thu Feb 20 13:52:42 UTC 2014,61.1328,0.48,4,,
Thu Feb 20 13:52:47 UTC 2014,61.1328,0.48,4,,
Thu Feb 20 13:52:52 UTC 2014,65.0463,0.48,4,,
Thu Feb 20 13:52:58 UTC 2014,65.0463,0.48,4,,
Thu Feb 20 13:53:04 UTC 2014,68.8397,0.48,4,,
Thu Feb 20 13:53:09 UTC 2014,70.0479,0.48,4,,
Thu Feb 20 13:53:14 UTC 2014,70.0479,0.48,4,,
Thu Feb 20 13:53:20 UTC 2014,70.0479,0.48,4,,
Thu Feb 20 13:53:25 UTC 2014,57.6267,0.48,4,,
Thu Feb 20 13:53:30 UTC 2014,57.5211,0.48,4,,
Thu Feb 20 13:53:36 UTC 2014,57.5211,0.48,4,,
Thu Feb 20 13:53:41 UTC 2014,57.5211,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:53:50 UTC 2014,56.4787,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:53:58 UTC 2014,56.4787,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:07 UTC 2014,56.0644,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:16 UTC 2014,56.0644,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:24 UTC 2014,56.1897,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:33 UTC 2014,65.1355,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:41 UTC 2014,75.2399,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:49 UTC 2014,71.454,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:57 UTC 2014,70.7874,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:06 UTC 2014,62.8793,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:14 UTC 2014,62.8793,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:23 UTC 2014,62.0512,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:32 UTC 2014,66.6947,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:41 UTC 2014,56.4499,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:49 UTC 2014,56.4499,0.48,4,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:57 UTC 2014,52.5897,0.48,4,CassandraNode_scaleIn,CassandraNode
